c_l_i_n_i_c___n_a_m_e,a_i_l_m_e_n_t,m_o_n_t_h___n_a_m_e,s_e_a_s_o_n,s_e_v_e_r_i_t_y,p_a_t_i_e_n_t___i_d,n_u_m___m_e_d_i_c_a_t_i_o_n_s,a_g_e,w_a_i_t___t_i_m_e___m_i_n_u_t_e_s,i_s___s_e_v_e_r_e,i_s___f_o_l_l_o_w___u_p
Central County Hospital,Asthma,August,Cool/Dry,Severe,13,33,29.615384615384617,34.84615384615385,13,2
Central County Hospital,Asthma,July,Long Rains,Mild,78,214,27.435897435897434,29.833333333333332,0,3
Central County Hospital,Asthma,July,Long Rains,Moderate,56,155,36.25,35.267857142857146,0,3
Central County Hospital,Asthma,July,Long Rains,Severe,18,47,38.888888888888886,29.22222222222222,18,1
Central County Hospital,Asthma,June,Long Rains,Mild,82,215,35.97560975609756,31.390243902439025,0,6
Central County Hospital,Asthma,June,Long Rains,Moderate,55,148,34.09090909090909,28.236363636363638,0,2
Central County Hospital,Asthma,June,Long Rains,Severe,22,57,39.09090909090909,26.40909090909091,22,1
Central County Hospital,Asthma,November,Short Rains,Mild,69,178,32.391304347826086,28.159420289855074,0,3
Central County Hospital,Asthma,November,Short Rains,Moderate,61,158,35.0,23.16393442622951,0,2
Central County Hospital,Asthma,November,Short Rains,Severe,22,63,39.09090909090909,23.636363636363637,22,2
Central County Hospital,Asthma,October,Cool/Dry,Mild,59,147,30.423728813559322,31.28813559322034,0,7
Central County Hospital,Asthma,October,Cool/Dry,Moderate,53,138,30.28301886792453,30.528301886792452,0,1
Central County Hospital,Asthma,October,Cool/Dry,Severe,13,36,33.46153846153846,31.46153846153846,13,1
Central County Hospital,Asthma,September,Cool/Dry,Mild,51,120,36.1764705882353,30.862745098039216,0,5
Central County Hospital,Asthma,September,Cool/Dry,Moderate,38,94,33.68421052631579,29.07894736842105,0,2
Central County Hospital,Asthma,September,Cool/Dry,Severe,28,74,40.714285714285715,32.17857142857143,28,0
Central County Hospital,Diabetes,August,Cool/Dry,Mild,59,160,26.35593220338983,33.25423728813559,0,0
Central County Hospital,Diabetes,August,Cool/Dry,Moderate,37,89,27.43243243243243,27.243243243243242,0,1
Central County Hospital,Diabetes,August,Cool/Dry,Severe,30,70,25.0,28.166666666666668,30,2
Central County Hospital,Diabetes,July,Long Rains,Mild,51,125,28.92156862745098,29.49019607843137,0,0
Central County Hospital,Diabetes,July,Long Rains,Moderate,44,113,26.59090909090909,31.181818181818183,0,6
Central County Hospital,Diabetes,July,Long Rains,Severe,15,36,33.0,21.0,15,0
Central County Hospital,Diabetes,June,Long Rains,Mild,53,131,30.660377358490567,27.79245283018868,0,5
Central County Hospital,Diabetes,June,Long Rains,Moderate,34,82,37.05882352941177,29.558823529411764,0,4
Central County Hospital,Diabetes,June,Long Rains,Severe,16,41,34.375,24.9375,16,0
Central County Hospital,Diabetes,November,Short Rains,Mild,83,217,31.867469879518072,28.59036144578313,0,4
Central County Hospital,Diabetes,November,Short Rains,Moderate,55,135,36.09090909090909,29.272727272727273,0,5
Central County Hospital,Diabetes,November,Short Rains,Severe,24,57,32.083333333333336,27.291666666666668,24,1
Central County Hospital,Diabetes,October,Cool/Dry,Mild,71,160,31.901408450704224,28.929577464788732,0,1
Central County Hospital,Diabetes,October,Cool/Dry,Moderate,39,98,34.23076923076923,28.615384615384617,0,2
Central County Hospital,Diabetes,October,Cool/Dry,Severe,19,41,28.157894736842106,33.68421052631579,19,1
Central County Hospital,Diabetes,September,Cool/Dry,Mild,55,114,30.454545454545453,27.527272727272727,0,1
Central County Hospital,Diabetes,September,Cool/Dry,Moderate,47,124,30.95744680851064,25.872340425531913,0,2
Central County Hospital,Diabetes,September,Cool/Dry,Severe,13,33,30.384615384615383,38.0,13,1
Central County Hospital,Diarrhea,August,Cool/Dry,Mild,114,282,32.45614035087719,30.780701754385966,0,9
Central County Hospital,Diarrhea,August,Cool/Dry,Moderate,70,176,32.57142857142857,31.614285714285714,0,3
Central County Hospital,Diarrhea,August,Cool/Dry,Severe,35,90,36.42857142857143,29.485714285714284,35,5
Central County Hospital,Diarrhea,July,Long Rains,Mild,220,538,30.772727272727273,27.645454545454545,0,13
Central County Hospital,Diarrhea,July,Long Rains,Moderate,154,386,33.116883116883116,30.83116883116883,0,7
Central County Hospital,Diarrhea,July,Long Rains,Severe,71,175,34.29577464788732,32.19718309859155,71,2
Central County Hospital,Diarrhea,June,Long Rains,Mild,202,485,33.51485148514851,30.23267326732673,0,12
Central County Hospital,Diarrhea,June,Long Rains,Moderate,162,401,31.11111111111111,29.080246913580247,0,4
Central County Hospital,Diarrhea,June,Long Rains,Severe,58,130,32.241379310344826,31.879310344827587,58,1
Central County Hospital,Diarrhea,November,Short Rains,Mild,136,307,36.1764705882353,31.529411764705884,0,9
Central County Hospital,Diarrhea,November,Short Rains,Moderate,101,262,33.613861386138616,26.980198019801982,0,4
Central County Hospital,Diarrhea,November,Short Rains,Severe,36,85,36.111111111111114,32.75,36,1
Central County Hospital,Diarrhea,October,Cool/Dry,Mild,129,300,32.5968992248062,27.364341085271317,0,5
Central County Hospital,Diarrhea,October,Cool/Dry,Moderate,90,229,32.22222222222222,26.711111111111112,0,6
Central County Hospital,Diarrhea,October,Cool/Dry,Severe,42,107,32.61904761904762,26.476190476190474,42,2
Central County Hospital,Diarrhea,September,Cool/Dry,Mild,121,309,37.231404958677686,28.68595041322314,0,5
Central County Hospital,Diarrhea,September,Cool/Dry,Moderate,98,248,29.591836734693878,26.70408163265306,0,4
Central County Hospital,Diarrhea,September,Cool/Dry,Severe,41,102,35.24390243902439,21.75609756097561,41,3
Central County Hospital,Hypertension,August,Cool/Dry,Mild,67,172,33.35820895522388,27.08955223880597,0,1
Central County Hospital,Hypertension,August,Cool/Dry,Moderate,59,140,32.79661016949152,29.1864406779661,0,1
Central County Hospital,Hypertension,August,Cool/Dry,Severe,17,46,38.529411764705884,29.11764705882353,17,0
Central County Hospital,Hypertension,July,Long Rains,Mild,85,226,31.941176470588236,31.11764705882353,0,7
Central County Hospital,Hypertension,July,Long Rains,Moderate,46,118,31.73913043478261,31.565217391304348,0,5
Central County Hospital,Hypertension,July,Long Rains,Severe,20,50,23.5,31.65,20,3
Central County Hospital,Hypertension,June,Long Rains,Mild,83,194,30.662650602409638,30.771084337349397,0,5
Central County Hospital,Hypertension,June,Long Rains,Moderate,67,167,35.149253731343286,29.53731343283582,0,4
Central County Hospital,Hypertension,June,Long Rains,Severe,17,37,38.529411764705884,30.11764705882353,17,0
Central County Hospital,Hypertension,November,Short Rains,Mild,100,253,32.1,29.53,0,7
Central County Hospital,Hypertension,November,Short Rains,Moderate,68,166,32.94117647058823,31.66176470588235,0,2
Central County Hospital,Hypertension,November,Short Rains,Severe,29,77,26.379310344827587,30.79310344827586,29,2
Central County Hospital,Hypertension,October,Cool/Dry,Mild,84,211,33.45238095238095,28.928571428571427,0,3
Central County Hospital,Hypertension,October,Cool/Dry,Moderate,60,152,32.833333333333336,29.566666666666666,0,5
Central County Hospital,Hypertension,October,Cool/Dry,Severe,31,74,36.29032258064516,31.612903225806452,31,2
Central County Hospital,Hypertension,September,Cool/Dry,Mild,88,231,33.29545454545455,28.897727272727273,0,3
Central County Hospital,Hypertension,September,Cool/Dry,Moderate,38,106,34.21052631578947,29.55263157894737,0,4
Central County Hospital,Hypertension,September,Cool/Dry,Severe,21,43,28.333333333333332,34.57142857142857,21,1
Central County Hospital,Malaria,August,Cool/Dry,Mild,142,360,35.28169014084507,32.16197183098591,0,3
Central County Hospital,Malaria,August,Cool/Dry,Moderate,98,243,31.632653061224488,26.367346938775512,0,6
Central County Hospital,Malaria,August,Cool/Dry,Severe,38,98,35.0,28.342105263157894,38,1
Central County Hospital,Malaria,July,Long Rains,Mild,337,875,33.45697329376855,27.572700296735906,0,17
Central County Hospital,Malaria,July,Long Rains,Moderate,208,542,32.78846153846154,29.865384615384617,0,8
Central County Hospital,Malaria,July,Long Rains,Severe,90,228,36.333333333333336,31.555555555555557,90,4
Central County Hospital,Malaria,June,Long Rains,Mild,270,677,33.629629629629626,31.744444444444444,0,10
Central County Hospital,Malaria,June,Long Rains,Moderate,193,464,31.321243523316063,27.27979274611399,0,12
Central County Hospital,Malaria,June,Long Rains,Severe,80,215,30.375,31.4375,80,6
Central County Hospital,Malaria,November,Short Rains,Mild,311,784,34.48553054662379,31.536977491961416,0,8
Central County Hospital,Malaria,November,Short Rains,Moderate,245,611,33.93877551020408,28.946938775510205,0,15
Central County Hospital,Malaria,November,Short Rains,Severe,92,241,32.5,29.92391304347826,92,4
Central County Hospital,Malaria,October,Cool/Dry,Mild,179,445,33.212290502793294,28.34078212290503,0,11
Central County Hospital,Malaria,October,Cool/Dry,Moderate,127,328,32.16535433070866,29.771653543307085,0,6
Central County Hospital,Malaria,October,Cool/Dry,Severe,40,102,31.0,26.975,40,3
Central County Hospital,Malaria,September,Cool/Dry,Mild,160,411,34.1875,29.55625,0,9
Central County Hospital,Malaria,September,Cool/Dry,Moderate,111,281,32.11711711711712,31.936936936936938,0,8
Central County Hospital,Malaria,September,Cool/Dry,Severe,50,130,33.2,27.06,50,3
Central County Hospital,Minor Injuries,August,Cool/Dry,Mild,95,230,33.73684210526316,27.852631578947367,0,3
Central County Hospital,Minor Injuries,August,Cool/Dry,Moderate,68,168,36.61764705882353,33.89705882352941,0,6
Central County Hospital,Minor Injuries,August,Cool/Dry,Severe,20,46,34.5,33.75,20,2
Central County Hospital,Minor Injuries,July,Long Rains,Mild,97,251,30.567010309278352,29.412371134020617,0,5
Central County Hospital,Minor Injuries,July,Long Rains,Moderate,58,156,39.310344827586206,27.120689655172413,0,0
Central County Hospital,Minor Injuries,July,Long Rains,Severe,22,44,31.363636363636363,31.863636363636363,22,1
Central County Hospital,Minor Injuries,June,Long Rains,Mild,86,201,35.348837209302324,31.38372093023256,0,6
Central County Hospital,Minor Injuries,June,Long Rains,Moderate,69,182,34.85507246376812,26.89855072463768,0,2
Central County Hospital,Minor Injuries,June,Long Rains,Severe,23,55,33.26086956521739,26.91304347826087,23,2
Central County Hospital,Minor Injuries,November,Short Rains,Mild,86,225,30.11627906976744,30.790697674418606,0,6
Central County Hospital,Minor Injuries,November,Short Rains,Moderate,71,186,33.309859154929576,27.816901408450704,0,4
Central County Hospital,Minor Injuries,November,Short Rains,Severe,24,57,30.833333333333332,26.083333333333332,24,1
Central County Hospital,Minor Injuries,October,Cool/Dry,Mild,102,269,35.98039215686274,27.607843137254903,0,7
Central County Hospital,Minor Injuries,October,Cool/Dry,Moderate,64,161,34.375,27.46875,0,3
Central County Hospital,Minor Injuries,October,Cool/Dry,Severe,27,65,32.407407407407405,24.25925925925926,27,2
Central County Hospital,Minor Injuries,September,Cool/Dry,Mild,99,236,31.565656565656564,28.585858585858585,0,3
Central County Hospital,Minor Injuries,September,Cool/Dry,Moderate,71,165,32.88732394366197,27.91549295774648,0,3
Central County Hospital,Minor Injuries,September,Cool/Dry,Severe,32,73,33.125,28.5,32,2
Central County Hospital,Pneumonia,August,Cool/Dry,Mild,82,218,34.390243902439025,29.024390243902438,0,6
Central County Hospital,Pneumonia,August,Cool/Dry,Moderate,41,106,34.51219512195122,26.70731707317073,0,1
Central County Hospital,Pneumonia,August,Cool/Dry,Severe,22,59,36.36363636363637,31.863636363636363,22,1
Central County Hospital,Pneumonia,July,Long Rains,Mild,129,332,34.53488372093023,26.899224806201552,0,5
Central County Hospital,Pneumonia,July,Long Rains,Moderate,94,227,31.170212765957448,29.617021276595743,0,5
Central County Hospital,Pneumonia,July,Long Rains,Severe,39,98,33.205128205128204,29.128205128205128,39,3
Central County Hospital,Pneumonia,June,Long Rains,Mild,102,256,32.84313725490196,29.53921568627451,0,11
Central County Hospital,Pneumonia,June,Long Rains,Moderate,67,145,32.46268656716418,28.47761194029851,0,2
Central County Hospital,Pneumonia,June,Long Rains,Severe,27,61,37.592592592592595,32.370370370370374,27,0
Central County Hospital,Pneumonia,November,Short Rains,Mild,71,182,30.774647887323944,30.774647887323944,0,7
Central County Hospital,Pneumonia,November,Short Rains,Moderate,61,160,34.50819672131148,32.24590163934426,0,4
Central County Hospital,Pneumonia,November,Short Rains,Severe,19,50,29.210526315789473,26.473684210526315,19,0
Central County Hospital,Pneumonia,October,Cool/Dry,Mild,70,171,30.285714285714285,28.814285714285713,0,8
Central County Hospital,Pneumonia,October,Cool/Dry,Moderate,57,144,34.29824561403509,28.596491228070175,0,3
Central County Hospital,Pneumonia,October,Cool/Dry,Severe,26,69,32.30769230769231,31.384615384615383,26,1
Central County Hospital,Pneumonia,September,Cool/Dry,Mild,77,183,35.64935064935065,31.92207792207792,0,3
Central County Hospital,Pneumonia,September,Cool/Dry,Moderate,53,133,28.77358490566038,30.92452830188679,0,2
Central County Hospital,Pneumonia,September,Cool/Dry,Severe,22,51,31.363636363636363,24.90909090909091,22,1
Central County Hospital,Skin Infections,August,Cool/Dry,Mild,101,251,32.42574257425743,28.92079207920792,0,4
Central County Hospital,Skin Infections,August,Cool/Dry,Moderate,95,245,33.421052631578945,24.88421052631579,0,8
Central County Hospital,Skin Infections,August,Cool/Dry,Severe,38,97,32.10526315789474,33.44736842105263,38,1
Central County Hospital,Skin Infections,July,Long Rains,Mild,77,171,27.5974025974026,30.584415584415584,0,0
Central County Hospital,Skin Infections,July,Long Rains,Moderate,51,121,35.588235294117645,29.0,0,3
Central County Hospital,Skin Infections,July,Long Rains,Severe,20,43,26.0,31.95,20,0
Central County Hospital,Skin Infections,June,Long Rains,Mild,90,207,32.55555555555556,27.633333333333333,0,7
Central County Hospital,Skin Infections,June,Long Rains,Moderate,55,139,35.0,25.927272727272726,0,2
Central County Hospital,Skin Infections,June,Long Rains,Severe,18,46,40.0,30.333333333333332,18,0
Central County Hospital,Skin Infections,November,Short Rains,Mild,89,213,35.449438202247194,30.853932584269664,0,1
Central County Hospital,Skin Infections,November,Short Rains,Moderate,56,133,30.535714285714285,30.946428571428573,0,4
Central County Hospital,Skin Infections,November,Short Rains,Severe,35,102,35.0,26.457142857142856,35,3
Central County Hospital,Skin Infections,October,Cool/Dry,Mild,86,220,32.325581395348834,27.651162790697676,0,7
Central County Hospital,Skin Infections,October,Cool/Dry,Moderate,64,167,32.65625,26.953125,0,2
Central County Hospital,Skin Infections,October,Cool/Dry,Severe,15,36,33.666666666666664,31.866666666666667,15,1
Central County Hospital,Skin Infections,September,Cool/Dry,Mild,143,375,31.993006993006993,29.412587412587413,0,8
Central County Hospital,Skin Infections,September,Cool/Dry,Moderate,80,189,33.75,32.95,0,2
Central County Hospital,Skin Infections,September,Cool/Dry,Severe,16,51,38.125,31.875,16,0
Central County Hospital,Typhoid,August,Cool/Dry,Mild,42,99,35.0,29.738095238095237,0,4
Central County Hospital,Typhoid,August,Cool/Dry,Moderate,35,87,33.57142857142857,25.97142857142857,0,3
Central County Hospital,Typhoid,August,Cool/Dry,Severe,11,30,34.09090909090909,36.54545454545455,11,1
Central County Hospital,Typhoid,July,Long Rains,Mild,55,135,36.27272727272727,26.327272727272728,0,3
Central County Hospital,Typhoid,July,Long Rains,Moderate,28,66,36.07142857142857,31.928571428571427,0,1
Central County Hospital,Typhoid,July,Long Rains,Severe,17,31,30.294117647058822,27.176470588235293,17,1
Central County Hospital,Typhoid,June,Long Rains,Mild,115,296,30.565217391304348,25.252173913043478,0,8
Central County Hospital,Typhoid,June,Long Rains,Moderate,58,159,28.448275862068964,29.896551724137932,0,4
Central County Hospital,Typhoid,June,Long Rains,Severe,31,76,32.096774193548384,27.258064516129032,31,2
Central County Hospital,Typhoid,November,Short Rains,Mild,138,344,35.36231884057971,30.07246376811594,0,10
Central County Hospital,Typhoid,November,Short Rains,Moderate,93,234,32.526881720430104,27.838709677419356,0,3
Central County Hospital,Typhoid,November,Short Rains,Severe,38,107,34.73684210526316,32.31578947368421,38,1
Central County Hospital,Typhoid,October,Cool/Dry,Mild,67,162,32.014925373134325,28.83582089552239,0,3
Central County Hospital,Typhoid,October,Cool/Dry,Moderate,32,68,30.3125,32.46875,0,1
Central County Hospital,Typhoid,October,Cool/Dry,Severe,16,45,23.125,35.8125,16,0
Central County Hospital,Typhoid,September,Cool/Dry,Mild,53,152,32.54716981132076,31.528301886792452,0,4
Central County Hospital,Typhoid,September,Cool/Dry,Moderate,37,89,30.675675675675677,25.405405405405407,0,0
Central County Hospital,Typhoid,September,Cool/Dry,Severe,16,43,36.875,29.75,16,0
Central County Hospital,Upper Respiratory Infection,August,Cool/Dry,Mild,276,705,33.07971014492754,28.778985507246375,0,13
Central County Hospital,Upper Respiratory Infection,August,Cool/Dry,Moderate,202,516,33.51485148514851,28.777227722772277,0,9
Central County Hospital,Upper Respiratory Infection,August,Cool/Dry,Severe,85,228,36.05882352941177,31.03529411764706,85,3
Central County Hospital,Upper Respiratory Infection,July,Long Rains,Mild,305,776,34.442622950819676,28.291803278688526,0,14
Central County Hospital,Upper Respiratory Infection,July,Long Rains,Moderate,225,558,34.022222222222226,30.897777777777776,0,11
Central County Hospital,Upper Respiratory Infection,July,Long Rains,Severe,102,277,37.64705882352941,28.61764705882353,102,7
Central County Hospital,Upper Respiratory Infection,June,Long Rains,Mild,286,725,31.433566433566433,28.041958041958043,0,23
Central County Hospital,Upper Respiratory Infection,June,Long Rains,Moderate,198,481,31.767676767676768,31.87878787878788,0,5
Central County Hospital,Upper Respiratory Infection,June,Long Rains,Severe,67,172,33.95522388059702,26.119402985074625,67,3
Central County Hospital,Upper Respiratory Infection,November,Short Rains,Mild,235,597,34.02127659574468,28.868085106382978,0,10
Central County Hospital,Upper Respiratory Infection,November,Short Rains,Moderate,151,385,34.40397350993378,27.927152317880793,0,11
Central County Hospital,Upper Respiratory Infection,November,Short Rains,Severe,70,153,34.0,26.457142857142856,70,4
Central County Hospital,Upper Respiratory Infection,October,Cool/Dry,Mild,201,501,31.616915422885572,28.82089552238806,0,7
Central County Hospital,Upper Respiratory Infection,October,Cool/Dry,Moderate,146,378,30.89041095890411,28.075342465753426,0,6
Central County Hospital,Upper Respiratory Infection,October,Cool/Dry,Severe,72,166,31.52777777777778,32.5,72,3
Central County Hospital,Upper Respiratory Infection,September,Cool/Dry,Mild,183,444,33.90710382513661,29.240437158469945,0,9
Central County Hospital,Upper Respiratory Infection,September,Cool/Dry,Moderate,134,301,36.04477611940298,27.634328358208954,0,6
Central County Hospital,Upper Respiratory Infection,September,Cool/Dry,Severe,67,161,29.925373134328357,30.895522388059703,67,5
Community Wellness Center,Arthritis,August,Cool/Dry,Mild,30,83,36.0,27.566666666666666,0,2
Community Wellness Center,Arthritis,August,Cool/Dry,Moderate,16,42,34.375,27.4375,0,2
Community Wellness Center,Arthritis,August,Cool/Dry,Severe,13,35,30.384615384615383,18.615384615384617,13,0
Community Wellness Center,Arthritis,July,Long Rains,Mild,26,63,30.76923076923077,28.576923076923077,0,2
Community Wellness Center,Arthritis,July,Long Rains,Moderate,23,59,33.26086956521739,28.782608695652176,0,1
Community Wellness Center,Arthritis,July,Long Rains,Severe,11,27,35.0,32.18181818181818,11,0
Community Wellness Center,Arthritis,June,Long Rains,Mild,24,59,27.083333333333332,24.25,0,2
Community Wellness Center,Arthritis,June,Long Rains,Moderate,10,27,45.0,28.7,0,1
Community Wellness Center,Arthritis,June,Long Rains,Severe,7,15,45.0,38.285714285714285,7,0
Community Wellness Center,Arthritis,November,Short Rains,Mild,32,66,33.75,31.71875,0,2
Community Wellness Center,Arthritis,November,Short Rains,Moderate,17,44,35.588235294117645,38.1764705882353,0,0
Community Wellness Center,Arthritis,November,Short Rains,Severe,7,16,35.0,17.0,7,1
Community Wellness Center,Arthritis,October,Cool/Dry,Mild,40,108,35.75,31.45,0,3
Community Wellness Center,Arthritis,October,Cool/Dry,Moderate,16,40,23.75,27.5625,0,2
Community Wellness Center,Arthritis,October,Cool/Dry,Severe,8,25,37.5,30.5,8,1
Community Wellness Center,Arthritis,September,Cool/Dry,Mild,32,82,31.25,31.90625,0,2
Community Wellness Center,Arthritis,September,Cool/Dry,Moderate,23,68,31.52173913043478,30.869565217391305,0,0
Community Wellness Center,Arthritis,September,Cool/Dry,Severe,5,13,31.0,22.4,5,0
Community Wellness Center,Asthma,August,Cool/Dry,Mild,32,83,28.75,31.53125,0,2
Community Wellness Center,Asthma,August,Cool/Dry,Moderate,25,67,32.6,31.76,0,1
Community Wellness Center,Asthma,August,Cool/Dry,Severe,17,29,44.411764705882355,37.05882352941177,17,1
Community Wellness Center,Asthma,July,Long Rains,Mild,54,140,30.185185185185187,32.611111111111114,0,1
Community Wellness Center,Asthma,July,Long Rains,Moderate,35,81,36.714285714285715,26.457142857142856,0,0
Community Wellness Center,Asthma,July,Long Rains,Severe,8,12,26.25,32.5,8,1
Community Wellness Center,Asthma,June,Long Rains,Mild,53,127,34.056603773584904,31.150943396226417,0,4
Community Wellness Center,Asthma,June,Long Rains,Moderate,25,68,30.6,24.12,0,3
Community Wellness Center,Asthma,June,Long Rains,Severe,13,33,24.23076923076923,33.38461538461539,13,0
Community Wellness Center,Asthma,November,Short Rains,Mild,47,125,34.57446808510638,27.829787234042552,0,2
Community Wellness Center,Asthma,November,Short Rains,Moderate,28,58,34.642857142857146,36.464285714285715,0,1
Community Wellness Center,Asthma,November,Short Rains,Severe,16,29,26.875,34.8125,16,1
Community Wellness Center,Asthma,October,Cool/Dry,Mild,43,108,30.11627906976744,30.627906976744185,0,4
Community Wellness Center,Asthma,October,Cool/Dry,Moderate,22,62,36.36363636363637,27.772727272727273,0,2
Community Wellness Center,Asthma,October,Cool/Dry,Severe,9,17,25.0,31.11111111111111,9,1
Community Wellness Center,Asthma,September,Cool/Dry,Mild,37,88,35.810810810810814,26.756756756756758,0,1
Community Wellness Center,Asthma,September,Cool/Dry,Moderate,26,59,35.38461538461539,31.46153846153846,0,2
Community Wellness Center,Asthma,September,Cool/Dry,Severe,16,34,36.875,36.5625,16,0
Community Wellness Center,Diabetes,August,Cool/Dry,Mild,42,109,34.523809523809526,26.857142857142858,0,2
Community Wellness Center,Diabetes,August,Cool/Dry,Moderate,24,58,45.0,31.333333333333332,0,0
Community Wellness Center,Diabetes,August,Cool/Dry,Severe,9,24,31.666666666666668,32.44444444444444,9,1
Community Wellness Center,Diabetes,July,Long Rains,Mild,47,117,36.276595744680854,28.680851063829788,0,3
Community Wellness Center,Diabetes,July,Long Rains,Moderate,24,46,32.5,27.875,0,1
Community Wellness Center,Diabetes,July,Long Rains,Severe,15,31,25.666666666666668,30.0,15,1
Community Wellness Center,Diabetes,June,Long Rains,Mild,35,96,34.142857142857146,26.257142857142856,0,0
Community Wellness Center,Diabetes,June,Long Rains,Moderate,20,47,33.5,29.3,0,0
Community Wellness Center,Diabetes,June,Long Rains,Severe,13,34,35.76923076923077,38.30769230769231,13,0
Community Wellness Center,Diabetes,November,Short Rains,Mild,47,114,38.61702127659574,26.0,0,5
Community Wellness Center,Diabetes,November,Short Rains,Moderate,27,74,25.0,30.48148148148148,0,2
Community Wellness Center,Diabetes,November,Short Rains,Severe,8,23,30.0,26.625,8,0
Community Wellness Center,Diabetes,October,Cool/Dry,Mild,43,110,32.44186046511628,26.790697674418606,0,3
Community Wellness Center,Diabetes,October,Cool/Dry,Moderate,29,76,31.896551724137932,23.896551724137932,0,3
Community Wellness Center,Diabetes,October,Cool/Dry,Severe,8,22,30.0,32.875,8,0
Community Wellness Center,Diabetes,September,Cool/Dry,Mild,35,85,34.42857142857143,27.37142857142857,0,3
Community Wellness Center,Diabetes,September,Cool/Dry,Moderate,18,45,33.333333333333336,25.61111111111111,0,0
Community Wellness Center,Diabetes,September,Cool/Dry,Severe,13,29,38.84615384615385,27.846153846153847,13,0
Community Wellness Center,Diarrhea,August,Cool/Dry,Mild,63,158,30.07936507936508,31.6984126984127,0,2
Community Wellness Center,Diarrhea,August,Cool/Dry,Moderate,48,117,34.375,27.729166666666668,0,1
Community Wellness Center,Diarrhea,August,Cool/Dry,Severe,30,81,27.666666666666668,31.566666666666666,30,4
Community Wellness Center,Diarrhea,July,Long Rains,Mild,127,327,32.71653543307087,24.88976377952756,0,8
Community Wellness Center,Diarrhea,July,Long Rains,Moderate,89,212,31.06741573033708,30.775280898876403,0,4
Community Wellness Center,Diarrhea,July,Long Rains,Severe,44,112,31.363636363636363,29.431818181818183,44,2
Community Wellness Center,Diarrhea,June,Long Rains,Mild,102,245,33.431372549019606,29.30392156862745,0,10
Community Wellness Center,Diarrhea,June,Long Rains,Moderate,90,234,35.55555555555556,31.177777777777777,0,4
Community Wellness Center,Diarrhea,June,Long Rains,Severe,43,103,28.023255813953487,29.023255813953487,43,3
Community Wellness Center,Diarrhea,November,Short Rains,Mild,89,194,31.179775280898877,28.50561797752809,0,4
Community Wellness Center,Diarrhea,November,Short Rains,Moderate,64,172,32.5,25.546875,0,3
Community Wellness Center,Diarrhea,November,Short Rains,Severe,30,74,36.333333333333336,28.666666666666668,30,1
Community Wellness Center,Diarrhea,October,Cool/Dry,Mild,81,209,31.666666666666668,31.358024691358025,0,7
Community Wellness Center,Diarrhea,October,Cool/Dry,Moderate,61,156,34.01639344262295,30.16393442622951,0,2
Community Wellness Center,Diarrhea,October,Cool/Dry,Severe,18,44,31.666666666666668,20.11111111111111,18,1
Community Wellness Center,Diarrhea,September,Cool/Dry,Mild,68,164,32.35294117647059,33.13235294117647,0,2
